id,house,course,sex,wandCore,bloodStatus,result,Defence against the dark arts exam,Flying exam,Astronomy exam,Herbology exam,Divinations exam,Charms exam,History of magic exam,Arithmancy exam,Care of magical creatures exam,Muggle studies exam,Study of ancient runes exam,Transfiguration exam,Potions exam,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40
1,Ravenclaw,4,female,unicorn hair,half-blood,94,73,33,57,73,66,60,52,61,44,64,50,74,67,0,-10,0,10,3,-20,10,5,1,20,5,5,-20,0,1,20,3,10,-10,10,0,20,5,10,0,10,5,-3,-20,5,5,-5,0,0,5,1,0,10,3,0
2,Hufflepuff,5,male,phoenix feather,half-blood,33,38,36,45,50,54,70,36,36,41,34,35,70,38,-5,1,-1,1,-5,20,10,5,1,-10,-10,-5,-5,5,20,5,0,5,0,-10,5,-5,1,-20,-20,10,5,20,-5,1,5,1,10,-1,-5,5,0,-1,5,0
3,Ravenclaw,4,female,dragon heartstring,half-blood,137,52,73,66,62,72,77,60,58,70,52,59,70,22,0,0,1,-1,3,0,1,1,3,1,20,1,10,3,1,5,10,5,-5,5,5,5,-3,-20,1,5,-3,20,5,-5,20,20,3,0,3,1,10,0,1,5
4,Hufflepuff,2,male,phoenix feather,half-blood,27,50,42,49,39,42,46,45,32,36,59,39,15,64,-1,5,-5,10,0,0,-3,-5,-1,5,0,-20,0,10,0,5,5,5,-1,10,3,0,20,0,3,-1,0,1,5,5,-5,-1,3,0,-10,-20,-1,-5,10,1
5,Hufflepuff,2,female,phoenix feather,half-blood,67,47,41,57,38,47,35,50,76,46,50,48,32,56,1,20,10,-10,-1,0,-20,5,0,-1,0,-10,0,-10,-20,0,5,10,0,0,5,20,-5,10,5,0,20,10,-10,-5,-10,-10,0,10,3,5,10,5,20,5
6,Gryffindor,6,male,phoenix feather,muggle-born,126,44,52,59,46,49,55,40,50,73,54,56,86,60,5,10,-5,10,20,0,1,5,3,0,0,-5,1,20,10,3,-5,-20,-1,-1,0,5,20,5,1,5,5,5,1,-1,-3,5,0,3,-5,20,3,5,0,1
7,Hufflepuff,7,female,unicorn hair,half-blood,63,51,34,58,59,42,86,55,41,29,36,47,100,62,1,-5,3,0,5,0,10,0,-20,5,5,0,-1,0,1,10,-1,0,0,-1,0,-1,0,5,-5,5,0,1,0,-20,0,10,-1,20,0,-1,3,20,5,10
8,Hufflepuff,5,female,phoenix feather,half-blood,7,47,34,37,23,38,20,21,31,36,31,41,31,55,-20,10,-5,-10,5,5,3,1,-20,-5,10,5,10,-20,3,-1,10,10,20,10,-5,0,1,-3,0,-3,-5,10,-3,20,-10,1,0,-5,0,-3,0,-5,1,-5
9,Gryffindor,2,male,unicorn hair,half-blood,-84,22,23,53,27,13,40,25,24,40,43,34,23,15,3,1,-3,-1,-3,0,-5,0,-10,5,5,1,-20,-20,-20,5,-10,3,0,0,-5,0,1,-5,-20,0,10,0,0,1,20,0,-20,10,0,1,20,-3,-5,-20
10,Slytherin,3,female,dragon heartstring,pure-blood,171,57,79,54,67,56,67,71,61,53,70,51,78,93,-20,10,5,1,5,-1,10,20,5,3,5,5,0,20,5,5,0,5,-3,0,5,20,5,-3,20,20,3,1,1,3,3,0,3,3,0,3,1,0,0,3
11,Hufflepuff,7,male,unicorn hair,half-blood,2,27,46,49,44,38,31,38,44,31,30,33,28,5,-3,10,5,-5,5,1,-3,-20,3,-5,10,0,-20,5,-10,-10,-1,20,20,0,5,5,-10,-10,5,5,-20,-5,-5,5,5,-5,10,20,0,-1,1,-5,5,-5
12,Ravenclaw,5,male,dragon heartstring,half-blood,141,57,50,68,70,57,61,70,64,46,54,63,37,16,1,1,-5,0,-10,1,0,5,10,0,1,5,0,3,10,5,5,0,10,3,3,20,1,0,0,3,20,10,3,5,20,3,0,1,5,0,0,-3,5,0
13,Slytherin,6,female,dragon heartstring,muggle-born,150,51,59,66,39,79,54,58,64,48,70,48,43,65,10,-3,5,5,20,0,0,0,-10,5,0,20,20,0,3,5,5,-5,-5,10,5,0,5,-1,10,10,5,5,5,-1,5,10,0,-3,1,-20,20,3,1,5
14,Slytherin,2,female,unicorn hair,muggle-born,113,58,38,64,34,62,57,55,53,38,65,56,55,80,-3,-5,10,5,1,0,20,20,10,0,20,20,0,-10,-1,-20,-10,0,5,20,1,10,-5,1,20,-5,0,5,0,20,0,-1,5,-10,-3,0,0,-10,0,3
15,Gryffindor,2,female,phoenix feather,half-blood,160,78,62,68,50,58,55,52,51,51,59,56,27,20,10,-5,10,20,10,10,5,1,10,1,-10,5,-5,5,-5,5,5,10,0,10,10,5,-20,-20,10,1,1,0,1,20,20,3,-3,10,10,3,1,3,10,3
16,Slytherin,7,female,dragon heartstring,muggle-born,130,52,74,67,57,38,64,63,51,53,49,62,64,83,1,10,1,5,3,5,1,20,10,5,1,10,-5,-1,0,-5,3,1,1,10,-5,-20,5,-10,10,20,10,-1,3,20,1,5,5,5,0,-5,10,-5,1,5
17,Slytherin,4,male,unicorn hair,half-blood,-76,51,36,29,25,29,40,36,42,27,37,19,3,86,0,-1,10,1,-1,-20,-5,-10,-5,20,10,-20,5,-5,0,-1,0,-10,3,-20,-10,0,20,-3,0,5,-1,-3,-5,5,20,-3,-5,-3,-5,-1,-20,-20,-1,3
18,Hufflepuff,4,male,dragon heartstring,pure-blood,-34,44,48,38,42,43,44,47,30,38,35,30,45,43,-1,20,10,-5,1,0,0,10,3,0,-10,0,1,-5,-20,-5,-10,-5,-5,-1,-3,-5,0,1,20,1,20,-10,5,-1,0,-10,-10,3,0,5,-5,-3,0,-20
19,Hufflepuff,6,female,unicorn hair,half-blood,21,58,47,50,39,54,42,40,40,35,36,37,34,27,5,3,10,3,5,0,-3,-1,5,0,-20,0,20,-20,10,0,-5,-20,5,0,-10,-3,10,3,-3,-3,1,0,20,5,3,10,-3,1,1,-3,1,-1,0,-5
